ID,Image,Name,Nickname,Game,Archetype,Position,Element,Team,Power,Control,Technique,Pressure,Physical,Agility,Intelligence,Total,Age group,School year,Gender,Role
1.0,https://dxi4wb638ujep.cloudfront.net/1/k/d/w/dwho-wi8ruk.png,Mark Evans,Evans,Inazuma Eleven,Justicia,GK,Mountain,Raimon,126,135,127,137,147,155,135,962,Middle School,Grade 8,Male,Player
2.0,https://dxi4wb638ujep.cloudfront.net/1/k/f/1/f1kh7d67sbs.png,Axel Blaze,Axel,Inazuma Eleven,Justicia,FW,Fire,Raimon,169,161,147,123,119,119,130,968,Middle School,Grade 8,Male,Player
3.0,https://dxi4wb638ujep.cloudfront.net/1/k/m/r/mrvaa0xojh8.png,Jack Wallside,Wallside,Inazuma Eleven,Justicia,DF,Mountain,Raimon,126,131,133,142,147,127,159,965,Middle School,Grade 7,Male,Player
4.0,https://dxi4wb638ujep.cloudfront.net/1/k/9/5/95k7tlx0k0u.png,Nathan Swift,Swift,Inazuma Eleven,Justicia,DF,Wind,Raimon,126,131,133,142,147,127,159,965,Middle School,Grade 8,Male,Player
5.0,https://dxi4wb638ujep.cloudfront.net/1/k/0/d/0dvmw8cb_ye.png,Kevin Dragonfly,Kevin,Inazuma Eleven,Tensión,FW,Forest,Raimon,166,159,145,119,117,117,128,951,Middle School,Grade 8,Male,Player
6.0,https://dxi4wb638ujep.cloudfront.net/1/k/_/y/_yjndsfyhyu.png,Tod Ironside,Tod,Inazuma Eleven,Contraataque,DF,Fire,Raimon,121,127,128,138,145,124,156,939,Middle School,Grade 7,Male,Player
7.0,https://dxi4wb638ujep.cloudfront.net/1/k/f/3/f3asqpwqusk.png,Steve Grim,Steve,Inazuma Eleven,Justicia,MF,Wind,Raimon,144,155,151,126,126,116,138,956,Middle School,Grade 8,Male,Player
8.0,https://dxi4wb638ujep.cloudfront.net/1/k/r/d/rd_khczyztm.png,Maxwell Carson,Max,Inazuma Eleven,Tensión,FW,Wind,Raimon,166,159,145,119,117,117,128,951,Middle School,Grade 8,Male,Player
9.0,https://dxi4wb638ujep.cloudfront.net/1/k/u/f/ufxz9wwq5hm.png,Tim Saunders,Timmy,Inazuma Eleven,Afinidad,MF,Forest,Raimon,144,155,151,126,126,116,138,956,Middle School,Grade 7,Male,Player
10.0,https://dxi4wb638ujep.cloudfront.net/1/k/a/1/a1orm9vieek.png,Sam Kincaid,Sam,Inazuma Eleven,Afinidad,MF,Fire,Raimon,144,155,151,126,126,116,138,956,Middle School,Grade 7,Male,Player
11.0,https://dxi4wb638ujep.cloudfront.net/1/k/o/w/owsgutjimb8.png,Jim Wraith,Jim,Inazuma Eleven,Justicia,DF,Forest,Raimon,121,127,128,138,145,124,156,939,Middle School,Grade 8,Male,Player
12.0,https://dxi4wb638ujep.cloudfront.net/1/k/u/y/uy2tfhpjks0.png,William Glass,Glass,Inazuma Eleven,Justicia,FW,Forest,Raimon,158,155,140,126,121,116,138,954,Middle School,Grade 8,Male,Player
13.0,https://dxi4wb638ujep.cloudfront.net/1/k/e/4/e4qtt3lwf_m.png,Erik Eagle,Erik,Inazuma Eleven,Afinidad,MF,Forest,Raimon,144,155,151,126,126,116,138,956,Middle School,Grade 8,Male,Player
14.0,https://dxi4wb638ujep.cloudfront.net/1/k/-/x/-xzmaq-eqf8.png,Bobby Shearer,Bobby,Inazuma Eleven,Tensión,DF,Forest,Raimon,121,127,128,138,145,124,156,939,Middle School,Grade 8,Male,Player
15.0,https://dxi4wb638ujep.cloudfront.net/1/k/c/b/cb88nfolkwe.png,Silvia Woods,Silvia,Inazuma Eleven,Tensión,GK,Mountain,Raimon,126,135,127,137,147,155,135,962,Middle School,Grade 8,Female,Coordinator
16.0,https://dxi4wb638ujep.cloudfront.net/1/k/z/p/zpndk6oxjls.png,Celia Hills,Celia,Inazuma Eleven,Afinidad,MF,Wind,Raimon,145,156,152,127,128,119,140,967,Middle School,Grade 7,Female,Coordinator
17.0,https://dxi4wb638ujep.cloudfront.net/1/k/x/i/xikbkjcdmjs.png,Nelly Raimon,Nelly,Inazuma Eleven,Afinidad,FW,Fire,Raimon,169,161,147,123,119,119,130,968,Middle School,Grade 8,Female,Coordinator
